,id,text,length,future,present,past,.,!,?,ORG,flesch_score,fleschkincaid_score,gunningfog_score,smog_score,dalechall_score,noun_rate,verb_rate,demonstrative_rate,adjective_rate,adposition_rate,adverb_rate,auxiliary_rate,conjunction_rate,determiner_rate,interjection_rate,numeral_rate,particle_rate,pronoun_rate,proper_noun_rate,punctuation_rate,subordinating_conjunction_rate,symbol_rate,possessive_rate,noun_verb_ratio,noun_ratio,pronoun_noun_ratio,closed_class_word_rate,open_class_word_rate,total_dependency_distance,average_dependency_distance,total_dependencies,average_dependencies,content_density,idea_density,honore_statistic,brunet_index,type_token_ratio,word_length,prop_inflected_verbs,prop_auxiliary_verbs,prop_gerund_verbs,prop_participles,mispelled,alliteration_score,is_passive,syllables,jargon,sentiment_label,sentiment_score,Tentative,PERSON,DATE,Certainty,GPE,Generalizing,Modal,NORP,TIME,CARDINAL,LOC,FAC,WORK_OF_ART,MONEY,PRODUCT,QUANTITY,ORDINAL,LANGUAGE,LAW,EVENT,PERCENT
10,10,"...I forgive you Darwin.
",25,0.0,0.04,0.0,1.0,0.0,0.0,,79.123,2.4220000000000024,0.32000000000000006,3.1291,7.623679999999999,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,NA,0.3333333333333333,0.16666666666666666,12,12.0,5,5.0,0.5,0.16666666666666666,NA,3.7930392279328475,1.0,3.5,0.0,0.0,0.0,0.0,0.0,0.2,0,1.5,0.04,1,0.9901592135429382,,1.0,,,,,,,,,,,,,,,,,,,
11,11,"I'm on my knees begging you.
",29,0.0,0.034482758620689655,0.0,1.0,0.0,0.0,,105.09000000000002,-0.6533333333333324,1.2000000000000002,3.1291,6.416966666666665,0.125,0.125,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.125,0.0,0.0,0.375,1.0,0.5,3.0,0.5,0.25,20,20.0,8,8.0,0.5,0.25,NA,4.373186982084907,1.0,2.875,1.0,1.0,1.0,0.0,0.0,0.0,0,1.1666666666666667,0.034482758620689655,0,0.9953129291534424,,,,,,,,,,,,,,,,,,,,,
12,12,"Because I haven't seen her in six weeks.
",41,0.0,0.012195121951219513,0.012195121951219513,1.0,0.0,0.0,,107.60000000000001,-0.754999999999999,1.6,3.1291,5.80865,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.1,0.1,0.0,0.2,1.0,0.5,2.0,0.3,0.2,28,28.0,10,10.0,0.6666666666666666,0.2,NA,4.829605387205156,1.0,3.3,1.0,1.0,0.0,1.0,0.0,0.3333333333333333,0,1.25,0.024390243902439025,0,0.9953708052635193,,,1.0,,,,,,,,,,,,,,,,,,
13,13,"You know, I don't get out to the movies much. But I'd have to say Bluntman and Chronic was Blunt-tastic!
",105,0.0015873015873015873,0.0031746031746031746,0.0015873015873015873,0.5,0.5,0.0,,107.07285714285716,0.06380952380952642,2.8000000000000003,3.1291,8.495128571428571,0.037037037037037035,0.14814814814814814,0.0,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.1111111111111111,0.07407407407407407,0.037037037037037035,0.0,0.0,0.07407407407407407,0.1111111111111111,0.07407407407407407,0.14814814814814814,0.0,0.0,0.18518518518518517,0.25,0.2,3.0,0.2962962962962963,0.2962962962962963,86,43.0,15,10.0,1.0,0.4074074074074074,4119.796082505413,6.94335489279087,0.9259259259259259,3.1481481481481484,0.0,0.75,0.0,0.0,0.009523809523809525,0.3333333333333333,0,1.25,0.047619047619047616,0,0.9545605182647705,,1.0,,,,,,,,,,,,,,,,,,,
14,14,"Out of options, Max. Take comfort in knowing you never had a choice.
",69,0.0,0.004830917874396135,0.004830917874396135,1.0,0.0,0.0,,98.31358974358974,0.6230769230769244,1.7333333333333334,3.1291,6.280664102564103,0.1875,0.1875,0.0,0.0,0.125,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0625,0.1875,0.0625,0.0,0.0625,1.0,0.5,0.3333333333333333,0.25,0.4375,36,18.0,11,6.5,1.75,0.375,4158.883083359673,5.891418146189208,0.9375,3.5,1.0,0.0,0.3333333333333333,0.0,0.0,0.21428571428571427,0,1.3846153846153846,0.0,1,0.9970796704292297,,1.0,,0.004830917874396135,,,,,,,,,,,,,,,,,
15,15,"Do you have any idea how difficult it is to find a quality man in Los Angeles?
",79,0.0,0.00949367088607595,0.0,0.0,0.0,1.0,,88.72514705882354,2.995588235294118,8.105882352941178,8.841846274778883,6.844570588235294,0.1111111111111111,0.16666666666666666,0.0,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.1111111111111111,0.0,0.0,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.0,0.0,0.2222222222222222,0.6666666666666666,0.4,1.0,0.2777777777777778,0.4444444444444444,49,49.0,14,14.0,1.6,0.3888888888888889,NA,6.013739039477723,1.0,3.4444444444444446,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.05555555555555555,1,1.5294117647058822,0.0,0,0.9996343851089478,,,,,1.0,,,,,,,,,,,,,,,,
16,16,"Make your kid a orphan before he's born.
",41,0.0,0.008130081300813007,0.008130081300813007,1.0,0.0,0.0,,97.025,0.7200000000000006,1.6,3.1291,5.80865,0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.1,0.0,0.2,1.0,0.5,1.0,0.3,0.4,32,32.0,10,10.0,1.3333333333333333,0.2,NA,4.829605387205156,1.0,3.3,1.0,0.5,0.0,0.5,0.0,0.0,0,1.25,0.024390243902439025,0,0.9902617335319519,,,,,,,,,,,,,,,,,,,,,
17,17,"You know what I hate? It's always the assholes that pass the tests.
",68,0.0,0.014705882352941176,0.0,0.5,0.0,0.5,,104.82128205128207,-0.2846153846153854,1.7333333333333334,3.1291,5.066048717948719,0.125,0.1875,0.0,0.0,0.0,0.0625,0.0625,0.0,0.125,0.0,0.0,0.0,0.3125,0.0,0.125,0.0,0.0,0.3125,0.6666666666666666,0.4,2.5,0.4375,0.375,39,19.5,9,6.5,0.8571428571428571,0.25,4158.883083359673,5.891418146189208,0.9375,3.4375,0.0,0.3333333333333333,0.0,0.0,0.0,0.21428571428571427,0,1.3076923076923077,0.029411764705882353,0,0.9981525540351868,,,,,,0.003676470588235294,,,,,,,,,,,,,,,
18,18,"We know all that we need to know --
",36,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,,114.11500000000001,-0.6699999999999982,3.2,3.1291,0.3968,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.1111111111111111,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0,0.0,NA,0.4444444444444444,0.3333333333333333,20,20.0,7,7.0,0.75,0.3333333333333333,1757.7796618689756,4.75438028443485,0.7777777777777778,3.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.2,0,1.0,0.0,0,0.9685187339782715,,,,,,,0.009259259259259259,,,,,,,,,,,,,,
19,19,"Yes! Lying is always a very effective dating tool.
",51,0.0,0.0196078431372549,0.0,0.5,0.5,0.0,,72.19000000000003,3.935555555555558,5.644444444444445,6.42735559955562,5.539744444444444,0.2727272727272727,0.0,0.0,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091,NA,1.0,0.0,0.09090909090909091,0.5454545454545454,37,18.5,8,5.0,6.0,0.2727272727272727,NA,5.024671669329011,1.0,3.8181818181818183,NA,NA,NA,NA,0.0,0.1,0,1.6666666666666667,0.0,1,0.9977972507476807,,,,,,0.0065359477124183,,,,,,,,,,,,,,,
20,20,"I don't see what anyone can see, in anyone else but you.
",57,0.005847953216374269,0.005847953216374269,0.0,1.0,0.0,0.0,,102.045,0.5166666666666675,2.4000000000000004,3.1291,5.249933333333333,0.0,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.3333333333333333,0.0,0.13333333333333333,0.0,0.0,0.4,0.0,0.0,NA,0.4666666666666667,0.2,39,39.0,12,12.0,0.42857142857142855,0.3333333333333333,1760.2326307164365,5.892035610248018,0.8666666666666667,3.0,0.0,1.0,0.0,0.0,0.0,0.3076923076923077,0,1.3333333333333333,0.017543859649122806,0,0.9905168414115906,,,,,,,0.005847953216374269,,,,,,,,,,,,,,
21,21,"So, ""shaved"" is the expression?
",32,0.0,0.015625,0.015625,0.0,0.0,1.0,,85.85750000000003,1.9049999999999994,9.0,7.168621630094336,6.918499999999999,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,1.0,0.5,0.0,0.1111111111111111,0.3333333333333333,23,23.0,6,6.0,3.0,0.2222222222222222,1757.7796618689756,4.75438028443485,0.8888888888888888,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1.6,0.0,0,0.9974822402000427,,,,,,,,,,,,,,,,,,,,,
22,22,"I hope that I'm not breaching protocol but..
",45,0.0,0.022222222222222223,0.0,1.0,0.0,0.0,,87.80333333333334,1.6750000000000007,6.066666666666666,6.42735559955562,9.690016666666665,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.2,0.0,0.1,0.1,0.0,0.2,0.5,0.3333333333333333,2.0,0.3,0.3,29,29.0,9,9.0,1.0,0.3,2072.3265836946402,4.964837592205458,0.9,3.7,0.5,0.5,0.0,0.5,0.0,0.1111111111111111,0,1.375,0.044444444444444446,1,0.604651153087616,0.007407407407407407,,,,,,,,,,,,,,,,,,,,
23,23,"I don't want anything to happen to him while my Mother's alive.
",64,0.0,0.005208333333333333,0.0,1.0,0.0,0.0,,102.045,0.5166666666666675,2.4000000000000004,3.1291,5.249933333333333,0.06666666666666667,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.2,0.26666666666666666,0.0,0.06666666666666667,0.06666666666666667,0.0,0.3333333333333333,0.5,0.3333333333333333,4.0,0.3333333333333333,0.26666666666666666,43,43.0,12,12.0,0.8,0.26666666666666666,3791.2702815430957,5.766390522014853,0.9333333333333333,3.466666666666667,0.0,0.5,0.0,0.0,0.0,0.07692307692307693,0,1.5,0.03125,0,0.9963608384132385,0.005208333333333333,1.0,,,,,,,,,,,,,,,,,,,
24,24,"Mind if I use the portable keyhole?
",36,0.0,0.027777777777777776,0.0,0.0,0.0,1.0,,82.42535714285715,2.632142857142858,7.114285714285714,7.168621630094336,8.321528571428571,0.25,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.125,0.125,0.0,0.25,2.0,0.6666666666666666,0.5,0.25,0.5,20,20.0,8,8.0,2.0,0.25,NA,4.373186982084907,1.0,3.625,0.0,0.0,0.0,0.0,0.0,0.125,0,1.5714285714285714,0.0,0,0.9984061121940613,,,,,,,,,,,,,,,,,,,,,
25,25,"I'm just a sweet Transvestite From Transexual Transylvania.
",60,0.0,0.016666666666666666,0.0,1.0,0.0,0.0,,65.30000000000001,5.145000000000001,11.600000000000001,8.841846274778883,11.729899999999999,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.0,0.2,NA,1.0,1.0,0.3,0.3,31,31.0,10,10.0,1.0,0.3,NA,4.829605387205156,1.0,5.2,NA,NA,NA,NA,0.016666666666666666,0.4444444444444444,0,1.875,0.05,1,0.989025890827179,,,,,,,,,,,,,,,,,,,,,
26,26,"That's all I have to say about that.
",37,0.0,0.018018018018018018,0.0,1.0,0.0,0.0,,118.17500000000001,-2.2299999999999986,1.6,3.1291,0.1984,0.0,0.2,0.2,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.3,0.0,0.1,0.0,0.0,0.3,0.0,0.0,NA,0.5,0.2,22,22.0,9,9.0,0.4,0.3,NA,4.829605387205156,0.9,2.9,0.0,0.5,0.0,0.0,0.0,0.1111111111111111,0,1.125,0.02702702702702703,0,0.5031871199607849,,,,,,,,,,,,,,,,,,,,,
27,27,"She is, was Phil, er Buzz's stepmother, so she's his mom, was his mom, stepmom, but... she's dead.
",99,0.0,0.006734006734006734,0.003367003367003367,1.0,0.0,0.0,,109.18100000000001,-1.0748888888888875,1.4400000000000002,3.1291,9.955615555555555,0.13793103448275862,0.0,0.0,0.034482758620689655,0.0,0.034482758620689655,0.1724137931034483,0.034482758620689655,0.0,0.0,0.0,0.034482758620689655,0.1724137931034483,0.10344827586206896,0.27586206896551724,0.0,0.0,0.20689655172413793,NA,1.0,1.25,0.20689655172413793,0.20689655172413793,129,129.0,12,12.0,1.0,0.10344827586206896,1010.1887489959421,8.085499710953924,0.5517241379310345,2.793103448275862,NA,NA,NA,NA,0.010101010101010102,0.2631578947368421,0,1.1666666666666667,0.06060606060606061,0,0.9991376399993896,,1.0,,,,,,,,,,,,,,,,,,,
28,28,"Can I--I mean--do you mind--if I wear this again.
",50,0.005,0.015,0.0,1.0,0.0,0.0,,116.14500000000001,-1.4499999999999993,2.4000000000000004,3.1291,0.2976,0.0,0.1875,0.0625,0.0,0.0,0.0625,0.125,0.0,0.0,0.0,0.0,0.0,0.3125,0.0,0.25,0.0625,0.0,0.3125,0.0,0.0,NA,0.3125,0.25,55,55.0,9,9.0,0.8,0.25,1663.5532333438691,6.29661092329874,0.75,2.5625,0.0,0.6666666666666666,0.0,0.0,0.04,0.4,0,1.4444444444444444,0.0,0,0.9787012338638306,,,,,,,0.005,,,,,,,,,,,,,,
29,29,"I'll get a room... and once you can leave you'll come home with me to New Orleans.
",83,0.012048192771084338,0.0,0.0,1.0,0.0,0.0,,113.80752941176472,-1.7698823529411758,1.36,3.1291,5.662787058823529,0.047619047619047616,0.14285714285714285,0.0,0.0,0.09523809523809523,0.047619047619047616,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.19047619047619047,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.0,0.19047619047619047,0.3333333333333333,0.25,4.0,0.38095238095238093,0.23809523809523808,74,74.0,14,14.0,0.625,0.3333333333333333,2892.2963158372518,6.507427282682298,0.8571428571428571,3.142857142857143,0.0,1.0,0.0,0.0,0.0,0.05555555555555555,0,1.0588235294117647,0.03614457831325301,1,0.9815608859062195,,,,,1.0,,0.004016064257028112,,,,,,,,,,,,,,
30,30,"According to the dogma of the Catholic church, I should probably burst into flames right here in this booth.
",109,0.0045871559633027525,0.0045871559633027525,0.0,1.0,0.0,0.0,,94.78197368421053,2.399210526315791,8.010526315789475,8.841846274778883,8.262963157894736,0.19047619047619047,0.09523809523809523,0.09523809523809523,0.047619047619047616,0.19047619047619047,0.14285714285714285,0.047619047619047616,0.0,0.14285714285714285,0.0,0.0,0.0,0.047619047619047616,0.0,0.09523809523809523,0.0,0.0,0.09523809523809523,2.0,0.6666666666666666,0.25,0.38095238095238093,0.47619047619047616,74,74.0,10,10.0,1.25,0.47619047619047616,6089.044875446841,6.4055167382833575,0.9523809523809523,4.285714285714286,0.5,0.5,0.5,0.0,0.0,0.1,0,1.3157894736842106,0.0,0,0.9922756552696228,,,,,,,0.0045871559633027525,1.0,,,,,,,,,,,,,
31,31,"Which is not a helluva lot to sink your teeth into.
",52,0.0,0.009615384615384616,0.0,1.0,0.0,0.0,,108.96159090909092,-0.5722727272727273,2.2,3.1291,5.3447545454545455,0.16666666666666666,0.08333333333333333,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.25,2.0,0.6666666666666666,1.0,0.25,0.4166666666666667,36,36.0,11,11.0,1.6666666666666667,0.25,NA,5.202259720982909,1.0,3.4166666666666665,0.0,1.0,0.0,0.0,0.0,0.0,0,1.2727272727272727,0.0,0,0.998995840549469,,,,,,,,,,,,,,,,,,,,,
32,32,"I'm sorry you're sick.
",23,0.0,0.043478260869565216,0.0,1.0,0.0,0.0,,120.20500000000001,-3.01,0.8,3.1291,11.6307,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.5714285714285714,NA,,NA,0.2857142857142857,0.2857142857142857,16,16.0,5,5.0,1.0,0.2857142857142857,NA,4.1021136011601484,0.8571428571428571,2.7142857142857144,NA,NA,NA,NA,0.0,0.4,0,1.25,0.08695652173913043,0,0.9984184503555298,,,,,,,,,,,,,,,,,,,,,
33,33,"Oh, Christ, uh, I've never confessed.
",38,0.0,0.013157894736842105,0.013157894736842105,1.0,0.0,0.0,,105.09000000000002,-0.6533333333333324,1.2000000000000002,3.1291,14.311966666666665,0.0,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091,0.09090909090909091,0.36363636363636365,0.0,0.0,0.09090909090909091,0.0,0.0,NA,0.09090909090909091,0.18181818181818182,56,56.0,7,7.0,2.0,0.18181818181818182,2158.105745518533,5.305305839313843,0.8181818181818182,2.909090909090909,1.0,1.0,0.0,1.0,0.0,0.2857142857142857,0,1.5,0.02631578947368421,0,0.9949080348014832,,,,0.013157894736842105,,,,,,,,,,,,,,,,,
34,34,"You'll lose the signal!
",24,0.041666666666666664,0.0,0.0,0.0,1.0,0.0,,99.055,-0.0600000000000005,0.8,3.1291,11.6307,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,1.0,0.5,1.0,0.3333333333333333,0.3333333333333333,12,12.0,6,6.0,1.0,0.16666666666666666,NA,3.7930392279328475,1.0,3.3333333333333335,0.0,1.0,0.0,0.0,0.0,0.0,0,1.25,0.041666666666666664,0,0.9997102618217468,,,,,,,,,,,,,,,,,,,,,
35,35,"Dropped in to see how you boys is doin'.
",41,0.0,0.012195121951219513,0.006097560975609756,1.0,0.0,0.0,,117.66750000000002,-2.0349999999999984,1.8,3.1291,5.614144444444444,0.1,0.2,0.0,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.2,0.5,0.3333333333333333,1.0,0.1,0.6,28,28.0,9,9.0,6.0,0.5,NA,4.829605387205156,1.0,3.2,0.5,0.5,0.0,0.0,0.0,0.0,0,1.0,0.024390243902439025,1,0.9996222257614136,,,,,,,,,,,,,,,,,,,,,
