,actual_mem_quote,sentence_a,sentence_b,label,confidence,title,mem_line_no,nonmem_line_no
31,"Don't tease me, you know what I do for a living.
",Don't tease me. You know what I do for a living.,And you could be... sort of like... a father figure to me....,0,0.9557926505804062,"grosse pointe blank
",344646,344626
32,"I'll go put these in some rubbing alcohol.
",Here. Let me put these in some rubbing alcohol.,We haven't seen each other since high school.,0,0.9554287381470203,"grosse pointe blank
",344971,345059
33,"Well, a son is a poor substitute for a lover.
",She's as harmless as... one of these stuffed birds.,A son is a poor substitute for a lover.,1,0.9605467319488525,"psycho
",621677,621685
34,"We're always quickest to doubt people who have a reputation for being honest.
","Look, this isn't much, but it might make you feel a little better.","We're always quickest to doubt people who have a record for being honest. I think she's here, Miss Crane. Where there's a boyfriend... She won't be back there among the nuts and bolts... but she'll be in this town... somewhere. I'll find her.",1,0.9640480279922485,"psycho
",621776,621879
35,"She might have fooled me, but she didn't fool my mother.
",There's just so much pushing I can take and I think...,That's all right. maybe she could have fooled me. But... She didn't fool my mother.,1,0.9650580883026123,"psycho
",621872,621877
36,"I'll lick the stamps.
",I'll lick the stamps.,I'm thinking of it.,0,0.934404157102108,"psycho
",621491,621493
37,"I think I must have one of those faces you can't help believing.
",I guess I've got one of those faces you can't help believing.,"I'm sorry, I have work to do, Mr... if you don't mind...",0,0.3360981345176697,"psycho
",621859,621851
38,"Well, if it doesn't jell, it isn't aspic, and this ain't jellin'!
","I do mind. If it don't jell, it ain't aspic! This ain't jelling.",This is the first one that looked like it was hiding from the world at large.,0,0.9532944932579994,"psycho
",621852,621798
39,"All you young people who applauded can go fuck yourselves!
",You young people should all go fuck yourselves.,But you don't know shit about loading a dishwasher.,0,0.27875590324401855,"rachel getting married
",629931,629925
40,"I brought you nectarines cause the peaches were hard as rocks
","And then we all smiled, and it was a great minute.",I got you nectarines because the peaches are hard as rocks.,1,0.9561376571655273,"angel eyes
",57813,58567
41,"Like I said, it ain't me you gotta worry about.
","Well, guess if it was trickeration he'd just do me, huh?",Like I said. Ain't me you gotta worry about.,1,0.9630312919616699,"pitch black
",605415,605381
42,"Did not know who he was fuckin' with.
",Didn't know who he was fuckin' with.,Some shade of grey my eyes don't see.,0,0.7181823551654816,"pitch black
",605666,605692
43,"You're dancing on razor blades here.
",Dancin' on razor blades here...,"Okay, maybe that's a good thing.",0,0.9554510675370693,"pitch black
",605366,605356
44,"I said I'd die for them not you Come on!
","C'mon, Riddick -- said I'd die for them, not you.","We're just here to carry your light, aren't we?",0,0.9536422118544579,"pitch black
",605739,605642
45,"Reckon you make me some biscuits.
",Do you reckon you can make me some biscuits?,Me and him's made friends.,0,0.8623813986778259,"sling blade
",701684,701696
46,"I like them French fried potaters.
","Yeah, they's good all right.",I like them french-fried potaters.,1,0.7374153137207031,"sling blade
",701361,701374
47,"A shovel just makes too goddamned much racket.
","By the way, how was it out there?",A shovel just makes too goddamn much racket.,1,0.9344390630722046,"sling blade
",701198,701992
48,"Ben, if you mixed drinks that way you mixed metaphors, you'd be out of a job...
",Do either of you have any idea when they stopped using that site as a rifle range?,"You mixed drinks bad as you mix metaphors, you be out of a job.",1,0.9499443769454956,"lone star
",482894,482919
49,"Son, you got a talent for stating the obvious.
",Little greaser sonofabitch been running a goddarn bus service.,"You got a talent for statin' the obvious, son Muchachos! Venga afuera!Brazos arribas!",1,0.9573794603347778,"lone star
",483227,483225
50,"If I met you for the first time today, I'd still want to be with you.
","If I met you for the first time today, I'd still want to be with you.",When you backed me you needed somebody named Deeds to bump the other fella out of office.,0,0.8604707717895508,"lone star
",483592,482987
51,"I've got a goddamn plan!
",No way they could stop it.,We got a plan!,1,0.6883704662322998,"tremors
",825679,825672
52,"I wouldn't give you a gun if it were World War 3.
","We go out, we find those damn snake things, we make 'em extinct.",I wouldn't give you a gun if it was World War Three.,1,0.9541356563568115,"tremors
",825730,825381
53,"Is white guilt supposed to make me forget that I run a business?
","If I don't see it in front of me, you're right.",Is white guilt supposed to make me forget I'm running a business?,1,0.9653234481811523,"jackie brown
",423545,423539
54,"You know, a good cop will never let you know he knows you're full of shit.
","Excuse me, but my wife thinks she left a bag of beach towels in the fitting room?","You know, a good cop won't let you know he knows you're fulla shit.",1,0.8680830001831055,"jackie brown
",424292,424424
55,"Half a million dollars will always be missed.
",A half-a-million dollars will always be missed.,"I know the type, trust me on this.",0,0.7470418214797974,"jackie brown
",424056,424050
56,"Shut your raggedy-ass up, and sit the fuck down!
",Shut your raggedy ass up and sit down.,The cops didn't try and strangle my ass.,0,0.6090759038925171,"jackie brown
",423695,423687
57,"My ass may be dumb, but I ain't no dumbass.
",That's why she's givin' up my money huh?,"My ass be dumb, but I'm not a dumbass. Go sit over there on the couch.",1,0.9645709991455078,"jackie brown
",424622,424638
58,"You can't trust Melanie but you can trust Melanie to be Melanie.
",You can't trust Melanie. But you can always trust Melanie to be Melanie.,"If this is about you fucked Melanie, I don't give a damn.",0,0.9555824659764767,"jackie brown
",424158,424148
59,"Don't you puke on my shoes Harry.
",I need you to do me a favor .,"Don't you puke on my shoes, Harry.",1,0.9578818082809448,"get shorty
",314827,314828
60,"They say the fucking smog is the fucking reason you have such beautiful fucking sunsets.
","Took the poor asshole's money and put it in a locker, ready to go.",They say the fuckin' smog's the reason you have such beautiful sunsets.,1,0.8806387186050415,"get shorty
",314766,315062
61,"The guy's been in town two days, and already he thinks he's David O. Fucking Selznick.
","Man's in town two days, thinks he's David O. fucking Selznick.",Because they're not the type of guys would take it with any degree of understanding or restraint.,0,0.9569644741714001,"get shorty
",314654,314170
62,"I got an idea for a movie.
","The door from the patio, in back.",I think I got an idea for a movie.,1,0.9017239809036255,"get shorty
",314076,314084
63,"Where's Chili Palmer, where's Leo DeVoe... *where's* my fuckin' money?
",Where's Leo Devoe? Where's Chili Palmer? Where's my fuckin' money?,Forget all the bullshit from before -- I don't even remember how it started.,0,0.9579756744205952,"get shorty
",314799,315064
64,"I'm the guy who's telling you the way it is.
","I'm the one telling you how it is. That's not too hard to figure out, is it?","You're gonna be here, behind 'em when they sit down.",0,0.953409306704998,"get shorty
",314253,314226
65,"What is the point of living in L.A. if you're not in the movie business?
","I mean, what's the point of living in L.A. if you're not in the movie business?","You must be makin' some big deals, doin' lunch in a place like this?",0,0.9563551433384418,"get shorty
",314504,314583
66,"Do you remember the man who walked into the Bank of Constantinople, and walked out with the Bank of Constantinople?
","But you know, madame, the stock market, bank crash ... To make a long story short--a member of the nouveaux poor.",You remember the man who walked into the Bank of Constantinople and walked out <u>with</u> the Bank of Constantinople?,1,0.942031979560852,"trouble in paradise
",827838,828140
67,"I came here to rob you, but unfortunately I fell in love with you.
",I came here to rob you--but unfortunately I fell in love with you. Mariette!,Let's see-- You will be exactly eighty-seven when you come out of prison.,0,0.9541480205953121,"trouble in paradise
",828745,828646
68,"Just a matter of time, I suppose.
","Just a matter of time, I suppose. With sudden, blinding speed, Blake WHIPS the SAUCER from under his cup, sending it FLYING like a saw-blade. The Intruder BATS IT out of the air with even quicker reflexes, but the act buys Blake time to pull a PISTOL with a SILENCER from a hollowed out STEREO SPEAKER. He's a pro . but so is our Intruder. Before Blake can get a shot off, the Intruder is already upon him, SNATCHING the gun out of Blake's hand-- --Blake PUNCHES the Intruder in the chest plate--the Intruder drops the gun. Blake fights. Not like an old man, but like the trained killer he is. But the Intruder is much, much faster. Younger. Deadlier. He SMASHES Blake with an elbow to the head. Blake falls. BLOOD blurs his vision. The Intruder picks Blake up off the ground. Brings him to the window with the great New York view. Thirty stories up. Blake looks the Intruder in the eye . and starts laughing. Hysterical.",I always thought I knew the punchline.,0,0.9425859823822975,"watchmen
",860385,860386
69,"We did it right there in the big cauldron.
","She had lovers, but she saved that for marriage.","We did it right there, in the big cauldron!",1,0.9435122013092041,"four rooms
",290929,290896
70,"How can I stop talking about something that's so HUGE?
","It's hard to stop talking about something so huge. I could go on and on about his cock, bone, nob, bishop, wang, thang, hotrod. Hump mobile, Oscar, dong, dagger, banana, cucumber, salami. Sausage, kielbasa, schlong, dink, tool, Big Ben, Mister Happy, prick, disk, pecker, peter, pee-pee, wee-wee, weiner, pisser, pistol, joint, hose, horn, middle-leg, third- leg, meat, stick, joystick, dipstick.",You look so much more attractive when you're self- assured.,0,0.9561198428273201,"four rooms
",291119,291059
71,"Unfortunately, you don't have the balls to back up the actions of your huge cock.
","Put it this way, God made up for what he did to Gumby with Ted here.","What didn't you do, stick man? Unfortunately, you don't have the balls to back up the actions of your huge cock.",1,0.9648592472076416,"four rooms
",291110,291115
72,"There's no needles here kid, just a big fucking gun!
","You always gotta get the last word, don't you?","What? We ain't got any needles here, kid. Just a big fucking gun.",1,0.9574682712554932,"four rooms
",291010,291021
73,"The dead can return given sufficent motivation.
","The dead can return, given sufficient motivation. And Corvis has that.",Won't stop until he finds it.,0,0.9541278295218945,"the crow salvation
",202496,202500
74,"Gas, spark, bad combination.
",I'm losing you.,"Spark, gas... bad combination. And it's not this leak here, that's the least of your worries.",1,0.9602620601654053,"the crow salvation
",202582,202592
75,"We be nice to them, if they be nice to us.
",We be nice to them if they be nice to us. Take it off us. We swears to do what you wants. We swears.,And then we take the precious and we be the master.,0,0.9524834901094437,"lord of the rings the two towers
",487281,488040
76,"You could have picked a better spot.
",This is no rabble of mindless Orcs.,You could have picked a better spot.,1,0.949192862957716,"lord of the rings the two towers
",487873,487825
77,"Don't follow the lights.
",Elves and men and orcses.,Dont follow the lights!,1,0.7675672918558121,"lord of the rings the two towers
",487429,487424
78,"There is no promise you can make that I can trust.
",Theres no promise you can make that I can trust.,"And two men, Aragorn, son of Arathorn, and Boromir of Gondor.",0,0.8957128003239632,"lord of the rings the two towers
",487282,487769
79,"I know your face, Eowyn.
",I know your face. Éowyn Éowyn.,Get the wounded on horses.,0,0.9546643793582916,"lord of the rings the two towers
",487546,487702
80,"You'll find more cheer in a graveyard.
","I would stay still, if I were you.",Youll find more cheer in a graveyard.,1,0.9491347074508667,"lord of the rings the two towers
",487523,487536
81,"I will draw you, Saruman, as poison is drawn from a wound.
","I will draw you, Saruman, as poison is drawn from a wound.",His spirit will find its way to the halls of your fathers.,0,0.8938727751374245,"lord of the rings the two towers
",487540,487561
82,"Sneaky little hobbitses.
",Servants of Sauron.,Filthy little hobbitses. They stole it from us.,1,0.9608691930770874,"lord of the rings the two towers
",487795,487635
83,"But that one counts as mine!
",Argh! That one counts as mine!,What madness drove them in there?,0,0.9529505856335163,"lord of the rings the two towers
",487693,487394
84,"Why do you lay these troubles on an already troubled mind?
",Late is the hour in which this conjurer chooses to appear.,"Why do you lay these troubles on an already troubled mind. Can you not see? Your uncle is wearied by your malcontent, your war-mongering.",1,0.9631073474884033,"lord of the rings the two towers
",487334,487532
85,"Bring your pretty face to my axe.
",Bring your pretty face to my axe!,The air is so close in here.,0,0.9491773471236229,"lord of the rings the two towers
",487692,487459
86,"I just got my eyebrows done!
",But I've got some C4.,Just... had eyebrows... done.,1,0.9171831607818604,"the pacifier
",589516,589514
87,"I think we should skip the whole courtship thing and just get married.
","Harvey, we better skip this whole courtship thing and just get married.",I'll have you know that I come from a very dysfunctional family.,0,0.9515853859484196,"american splendor
",50750,50802
88,"I consider myself a nerd.
",I already saw it once.,"Yes, I consider myself a nerd. And this movie has uplifted me. There's this one scene where a nerd grabs the microphone during a pep rally and announces that he is a nerd and that he is proud of it and stands up for the rights of other nerds. Then, he asks the kids at the pep rally who think they are nerds to come forward... So nearly everyone in the place does. That's the way the movie ends.",1,0.9641079902648926,"american splendor
",50774,50768
89,"The future has taken root in the present.
","But it'll take another, a greater king...",It is done. The future has found root in the present.,1,0.9669986963272095,"excalibur
",267326,267359
90,"Good and evil, there never is one without the other.
","Never where you expect it, that's all I know.",Good and evil; there is never one without the other.,1,0.5967884063720703,"excalibur
",267632,267634
91,"Don't piss me off, junior, or I WILL repaint this office with your brains.
",I gotta go break the news to Megan's friends about what's happened.,"Don't piss me off, junior. Or I will repaint this office with your brains.",1,0.9650633335113525,"jason lives: friday the 13th part vi
",426097,426460
92,"Ladies, Ladies, Ladies, Jay and Silent Bob are in the hizzouse!
",It does what ever the fuck I tell it to do!,"Ladies, ladies, ladies! Jay and Silent Bob are in the Hizz-ouse!!!",1,0.9585164785385132,"jay and silent bob strike back
",431509,431665
93,"Just call me Darth Balls... Bong.
","This was a good idea, Lunchbox.",Call me Darth Balls. Bunngg.,1,0.9623628854751587,"jay and silent bob strike back
",432052,432015
94,"Are we gonna have a problem... again?
","Will, what're we gonna do now?","Are we gonna have a problem, again?",1,0.9293437004089355,"jay and silent bob strike back
",431950,431955
95,"Affleck, you the *bomb* in Phantoms yo!
","Well what are you waiting for, bitch?","Affleck, you're the bomb in Phantoms, yo.",1,0.9507163763046265,"jay and silent bob strike back
",431960,431904
96,"I think George Lucas gonna sue somebody.
","Neither did I. Shit, neither did the studio.",I think George Lucas is going to sue somebody--,1,0.9558584615588188,"jay and silent bob strike back
",432053,432041
97,"I hope one rips the other one's shirt off and we see some fuckin titties floppin around, yeah!
","Hey, I wanted to go down, but I was waiting until I got to know her a little better.",Yo--I hope one of 'em rips the other one's shirt off and we see some tit.,1,0.9537774324417114,"jay and silent bob strike back
",432088,432071
98,"I'm gonna finger-bang her tight little asshole / Finger-bang and tea-bag my balls / Where, where, in her mouth / Balls a-plenty in her mouth / Balls Balls Sweaty Balls
","You'll have to be faster than Walt Flanagan's Dog to outrun the warrior gorillas, who hunt humans for sport, profit, and the occasional inter- species blow-job.","I'm gonna finger-fuck her tight little asshole! Finger-bang and tea-bang my balls--in her mouth! Where? Where? In her mouth--balls-a-plenty in her mouth! Balls, balls, sweaty balls--",1,0.958472728729248,"jay and silent bob strike back
",431632,431745
99,"Dude, I think I just filled the cup.
",And we got just the thing for that.,Dude--I think I just filled the cup.,1,0.8289533853530884,"jay and silent bob strike back
",431508,431484
100,"I don't get out to the movies that much, but ""Bluntman and Chronic"" was blunt-tastic.
","You know, I don't get out to the movies much. But I'd have to say Bluntman and Chronic was Blunt-tastic!",These men are the leaders of a terrorist organization wanted for the abduction of a monkey.,0,0.9549849443137646,"jay and silent bob strike back
",432183,432059
101,"You lack the courage of your convictions sir, do it.
","I invited it, a release from the pain of living...","You lack the courage of your convictions, sir. Do it.",1,0.9658471345901489,"interview with the vampire: the vampire chronicles
",411583,411584
102,"So you want me to tell you the story of my life?
",You'd have to have a lot of tape for my story.,So you want me to tell you the story of my life...,1,0.900251030921936,"interview with the vampire: the vampire chronicles
",411547,411549
103,"So it was, when I'd given up the search for vampires, that a vampire found me.
",So it was when I had given up the search for vampires that a vampire found me...,I think the very name of Paris brought a rush of pleasure to me that was extraordinary.,0,0.8887141868472099,"interview with the vampire: the vampire chronicles
",412072,412044
104,"A little child she was, but also a fierce killer, now capable of the ruthless pursuit of blood with all a child's demanding.
","...and finally, when I could stand it no longer, I stood in an empty desolate street and heard the sound of a child crying.","A little child she was, but also a fierce killer, now capable of the ruthless pursuit of blood with all a child's demanding.",1,0.9128152132034302,"interview with the vampire: the vampire chronicles
",411860,411806
105,"My God, I've failed again.
",Do what you want with it.,"Dear God. I've failed again, haven't I?",1,0.965599775314331,"interview with the vampire: the vampire chronicles
",412344,412339
106,"All I need to find you Louis, is follow the corpses of rats.
",And you will feel as you felt with that child in your arms.,All I need to find you Louis is follow the corpses of rats.,1,0.8618748188018799,"interview with the vampire: the vampire chronicles
",411814,411817
107,"We are predators, Whose all seeing eyes were meant to give them detachment.
",Your income from cotton alone will keep us in comfort for a century.,"Vampires are killers. Predators, who's all seeing eyes were meant to give them detachment.",1,0.9641854763031006,"interview with the vampire: the vampire chronicles
",411784,411687
108,"Goodnight sweet prince, may flights of devils wing you to your rest.
","Goodnight, sweet prince, may flights of devils wing you to your rest.",Tell me how it came to be that I am this... thing...,0,0.8699480891227722,"interview with the vampire: the vampire chronicles
",411996,411924
109,"Do you want to die here?
",Just give me the goddamn disc!,Do you want to die here?,1,0.9549474716186523,"cellular
",164736,165368
110,"I won't let it happen, okay?
","After Lewton, you should've been next.","Hey, I won't let it happen, okay.",1,0.8254806101322174,"final destination
",284189,284179
111,"I got this feeling... a weird feeling.
",I got this... feeling... a weird feeling... I can't explain it...,You think I'm some sort of...,0,0.8668945878744125,"final destination
",283884,283876
112,"I knew I shoulda hit on Tammy in the pool that time.
","I am... so close to puking, you don't wanna know.","Shoulda felt up Tammy in the pool, that time...",1,0.8236541002988815,"final destination
",284140,284162
113,"Don't bother to scream.
",Don't bother to scream.,We fell from grace together.,0,0.9552055895328522,"frankenstein
",294219,294264
114,"I'd keep my promises if I were you.
",I keep my promises.,I'm sure the lady knows her own mind.,0,0.9376838952302933,"frankenstein
",294225,294236
115,"Who knocked up your sister?
",Who knocked up your sister?,What 're you talking about?,0,0.9148706570267677,"10 things i hate about you
",1181,1252
116,"Just 'cause you're beautiful, that doesn't mean that you can treat people like they don't matter.
",What kind of 'guy just picks up a girl and carries her away while you're talking to her?,"Just because you're beautiful, doesn't mean you can treat people like they don't matter.",1,0.9502934217453003,"10 things i hate about you
",1331,1215
117,"Leave it to you to use big words when you're smashed.
",Leave it to you to use big words when you're shitfaced.,You don't strike me as the type that would ask permission.,0,0.9391081891953945,"10 things i hate about you
",1258,1313
118,"And I'm BACK IN THE GAME!
",And I'm back in the saddle.,"She's partial to Joey, not me",0,0.8436694145202637,"10 things i hate about you
",1332,1253
119,"I guess in this society, being male and an asshole makes you worthy of our time.
",I'd like to call your attention to Patrick Verona's stunning bad-ass look of 1995 ---,"I guess the school board thinks because Hemingway's male and an asshole, he's worthy of our time",1,0.1446799635887146,"10 things i hate about you
",733,1681
120,"I have a dick on my face, don't I?
","Patrick, Pat, you're not looking at the big picture.","I have a dick on my face, don't I?",1,0.8720954656600952,"10 things i hate about you
",876,1015
121,"You're not as vile as I thought you were.
",You know -- you're not as vile as I thought you were.,He just wants me to be someone I'm not.,0,0.895633302628994,"10 things i hate about you
",1322,1318
122,"It's not everyday you find a girl who'll flash someone to get you out of detention.
",You know -- it's not every day you find a girl who'll flash her tits to get you out of detention.,"Well, you know -- there's the prestige of the job title... and the benefits package is pretty good...",0,0.9472819678485394,"10 things i hate about you
",1667,897
123,"Watching that bitch violate my car doesn't count as a date.
",Watching the bitch trash my car doesn't count as a date.,So get your ass on hers by the end of the week.,0,0.21832937002182007,"10 things i hate about you
",984,986
124,"Oh wait... was that... did your hairline just recede?
","Okay, I'll just sleep but stay awake, okay?",Wait -- was that?-- Did your hairline just recede?,1,0.7534276247024536,"10 things i hate about you
",1184,1248
125,"Remove head from sphincter, then drive!
",Remove head from sphincter! Then pedal!,Ask Bianca who drove her home,0,0.9559675008058548,"10 things i hate about you
",788,809
126,"Jesus Christ, that's Jason Bourne!
",Get the asset out of there ...,"Jesus Christ, that's Jason Bourne.",1,0.9223583936691284,"the bourne ultimatum
",138759,138779
127,"Issue a standing kill order on Jason Bourne, effective immediately.
","Issue a standing kill order on Jason Bourne, effective immediately.",Run all calls through here with an iso on 117,0,0.950607918202877,"the bourne ultimatum
",138900,138945
128,"You'd better get yourself a good lawyer.
",You better get a good lawyer.,It's better if we do this together.,0,0.8615246117115021,"the bourne ultimatum
",139127,139120
129,"She could talk her way out of a sunburn.
","Yeah, well, that's a Hazard of the jjj...",She could talk her way outta a sunburn.,1,0.9504557847976685,"heist
",367634,367407
130,"And we were dressed from head to toe in love... the only label that never goes out of style.
",And that's the one label -- that never goes out of style.,For the last five months I've been thinking that it's a huge mistake that you left Steve.,0,0.8379795700311661,"sex and the city
",681547,681268
131,"Charlotte has pudding in her Prada.
","When something is really, really funny.",Charlotte had pudding in her Prada.,1,0.8665543049573898,"sex and the city
",680813,680817
132,"Your two best friends just got screwed over by their guys, how could you not be distant?
",Okay. I'll talk about it. Your best friends get screwed over by their guys -- how can you not get distant?,Seriously -- all I do is work -- and you run off to New York every chance you get.,0,0.9537453353404999,"sex and the city
",680933,680937
133,"Yeah, it's all so hot three days in!
",It's all so hot -- three days in.,I let the sex go out of our marriage!,0,0.8465308099985123,"sex and the city
",680837,680796
134,"Just calling to make sure you aren't hanging from your shower rod.
",I'm just calling to make sure you aren't hanging from your shower rod.,Smith is interested - but the dates will have to work with the series.,0,0.7874177098274231,"sex and the city
",681229,681336
135,"Yes, the honeymoon to a romantic Mexican resort that I prepaid on my credit card to surprise the man who jilted me.
","Well, if you change your minds, I know where we can get one hundred beef, seventy-five fish and twenty- five vegetarian meals.",There's the silver lining. A honeymoon to a romantic Mexican resort that's pre-paid on my credit card because I wanted to surprise the man who jilted me.,1,0.9649641513824463,"sex and the city
",680745,680740
136,"It's the last single girl kiss.
",Enid -- I'm so very flattered but--,"Well, I'm hardly the last single girl.",1,0.9608277082443237,"sex and the city
",680456,680453
137,"What does your gut tell you?
",What does your gut tell you?,Why didn't you say something?,0,0.7825833410024643,"sex and the city
",681385,681374
138,"It wasn't logic, it was love.
",It wasn't logic -- it was love.,And speaking of an oldie but goodie...,0,0.9276531934738159,"sex and the city
",681504,681541
139,"Hey dick-wad, I'm speaking.
","Hey ""dick wad""... I'm speaking.",... We never kiss and tell.,0,0.8253235965967178,"sex and the city
",680595,680588
140,"Forty is the last age a woman can be photographed in a wedding dress without the unintended Diane Arbus subtext.
",It's a once in a lifetime opportunity - so spare me a week of faux soul-searching and just say yes.,"No, but forty is the last age you can see a woman photographed in a wedding gown without the unintended Diane Arbus subtext.",1,0.9631624221801758,"sex and the city
",680457,680452
141,"Some labels are best left in the closet.
",Maybe some labels are best left in the closet...,It wasn't a fancy designer reception either.,0,0.9251305311918259,"sex and the city
",681535,681534
142,"It's my lot in life to be surrounded by beautiful women.
",It's my lot in life to be surrounded by beautiful women.,He said he wrote because he didn't have your phone number.,0,0.9228403717279434,"sex and the city
",681436,681460
143,"Is a relationship saying his name fifty times more a day than my own?
","It's more than that -- lately, I haven't been feeling a connection to --",Does that mean saying his name fifty times more a day than I say my own? Does it mean worrying about him and his needs before me and mine? Is it all about the other person? Is that love?,1,0.9657683372497559,"sex and the city
",680824,680934
